Timestamp, KBps
1531120110.8813825, 232.2
1531120120.8819015, 259.9
1531120130.8823936, 280.1
1531120140.882863, 271.5
1531120150.8834128, 271.5
1531120160.8838682, 279.2
1531120170.884304, 277.8
1531120180.8847692, 262.1
1531120190.8852727, 273.9
1531120200.8857589, 275.8
1531120210.886213, 271.6
1531120220.886745, 275.1
1531120230.8874333, 269.0
1531120240.8882318, 269.5
1531120250.8887844, 274.0
1531120260.8893294, 265.4
1531120270.890252, 272.2
1531120280.8908317, 269.7
1531120290.891492, 275.1
1531120300.8920078, 271.7
1531120310.8925023, 272.8
1531120320.8935297, 274.0
1531120330.8940685, 272.0
1531120340.8945448, 277.1
1531120350.8949862, 275.7
1531120360.8955958, 274.2
1531120370.896104, 272.5
1531120380.8966074, 272.3
1531120390.8971019, 272.4
1531120400.8976204, 264.7
1531120410.8981574, 271.0
1531120420.8987167, 273.9
1531120430.8992183, 273.2
1531120440.8996902, 272.4
1531120450.900182, 273.5
1531120460.900989, 268.3
1531120470.901594, 270.9
1531120480.9021306, 272.0
1531120490.9026785, 263.8
1531120500.9034417, 271.5
1531120510.9040294, 267.3
1531120520.9045029, 266.5
1531120530.904996, 271.8
1531120540.9057066, 272.4
1531120550.9062803, 273.1
1531120560.9069126, 266.2
1531120570.9076753, 269.1
1531120580.90824, 265.5
1531120590.9087985, 267.2
1531120600.9093592, 275.1
1531120610.9098604, 277.1
1531120620.9104142, 272.4
1531120630.9111142, 269.6
1531120640.911666, 263.0
1531120650.9122229, 269.8
1531120660.9127886, 270.8
1531120670.913376, 271.3
1531120680.9138813, 275.8
1531120690.9144664, 274.9
1531120700.9150343, 272.6
1531120710.9155743, 271.2
1531120720.9161239, 270.8
1531120730.916667, 277.8
1531120740.917225, 269.1
1531120750.917725, 273.9
1531120760.9182205, 266.5
1531120770.9188561, 276.4
1531120780.9196794, 278.5
1531120790.9203405, 277.5
1531120800.920895, 276.8
1531120810.9213984, 278.9
1531120820.921983, 279.5
1531120830.9226553, 282.7
1531120840.9234145, 275.6
1531120850.9239686, 272.7
1531120860.9245224, 277.5
1531120870.925078, 273.4
1531120880.9255667, 274.8
1531120890.9261189, 283.0
1531120900.9268565, 278.3
1531120910.927459, 281.4
1531120920.9280174, 284.8
1531120930.9285743, 283.6
1531120940.9290972, 281.3
1531120950.9296162, 278.4
1531120960.9301736, 269.2
1531120970.930732, 276.1
1531120980.931313, 274.9
1531120990.9318776, 281.4
1531121000.932458, 270.0
1531121010.933017, 283.2
1531121020.933616, 278.3
1531121030.9341974, 278.9
1531121040.9348269, 279.8
1531121050.935346, 278.6
1531121060.9358191, 277.7
1531121070.9364161, 279.3
1531121080.9371793, 281.6
1531121090.9376872, 281.6
1531121100.9381828, 277.3
1531121110.9387255, 282.0
1531121120.9392757, 273.7
1531121130.9398026, 280.1
1531121140.9403095, 279.9
1531121150.9407208, 278.8
1531121160.9412463, 277.9
1531121170.9417589, 273.7
1531121180.9424603, 275.7
1531121190.9430354, 272.7
1531121200.9436107, 277.8
1531121210.9441986, 277.5
1531121220.9450064, 275.3
1531121230.945499, 276.4
1531121240.9461024, 267.0
1531121250.94686, 261.1
1531121260.9474032, 271.7
1531121270.9479923, 271.0
1531121280.9485579, 270.0
1531121290.9491658, 268.8
1531121300.9498286, 278.6
1531121310.9503527, 274.2
1531121320.95083, 278.1
1531121330.951362, 279.5
1531121340.9518063, 270.7
1531121350.9523325, 280.6
1531121360.952907, 273.3
1531121370.953366, 282.2
1531121380.9540577, 268.3
1531121390.9546623, 225.6
1531121400.9552224, 259.2
1531121410.955723, 278.8
1531121420.956252, 281.6
1531121430.9568067, 283.9
1531121440.9574616, 281.6
1531121450.958355, 281.4
1531121460.9589214, 279.4
1531121470.9595213, 280.0
1531121480.9600732, 266.2
1531121490.9606261, 279.3
1531121500.961275, 280.4
1531121510.9618235, 279.4
1531121520.962326, 279.1
1531121530.962858, 282.1
1531121540.9634192, 280.5
1531121550.9639788, 275.2
1531121560.96453, 272.1
1531121570.9650693, 275.7
1531121580.965637, 270.9
1531121590.9662218, 274.4
1531121600.9667757, 269.3
1531121610.96735, 269.9
1531121620.968003, 278.8
1531121630.9687374, 274.3
1531121640.9693089, 276.0
1531121650.9699254, 274.1
1531121660.9706452, 268.5
1531121670.9713633, 269.5
1531121680.971993, 270.9
1531121690.9725614, 269.9
1531121700.9731472, 271.0
1531121710.9737797, 270.2
1531121720.9743037, 260.6
1531121730.9748013, 268.2
1531121740.975443, 267.4
1531121750.9760144, 264.0
1531121760.9765544, 266.4
1531121770.9771054, 262.7
1531121780.9776568, 264.2
1531121790.9783864, 264.7
1531121800.9790156, 268.7
1531121810.97958, 265.2
1531121820.9804657, 266.2
1531121830.9811153, 266.8
1531121840.981722, 255.4
1531121850.9823892, 265.8
1531121860.9829578, 266.2
1531121870.9835331, 266.8
1531121880.9843328, 265.8
1531121890.985047, 266.6
1531121900.9856052, 266.7
1531121910.9862409, 266.1
1531121920.9868283, 271.2
1531121930.9873257, 266.3
1531121940.9877987, 272.8
1531121950.9883456, 272.6
1531121960.9888816, 263.6
1531121970.9895926, 260.4
